Modelo,Config_Code,Pré-processamento,Precision@10,Recall@10,F1@10,MAP,NDCG@10,MRR
Modelo Vetorial,no_stop_no_stem,Sem Remoção Stopwords | Sem Stemming,0.22844444444444448,0.37660449724949213,0.2565005154448203,0.27852567102262044,0.3324909889284427,0.5081590405636287
Modelo BM25,no_stop_no_stem,Sem Remoção Stopwords | Sem Stemming,0.22533333333333336,0.3828567658596038,0.2566788729400762,0.278082700360293,0.3337382704216192,0.5010113558550779
Modelo Vetorial,with_stop_no_stem,Com Stopwords | Sem Stemming,0.22444444444444445,0.37195285749491114,0.25281135326588083,0.2845424587695709,0.3291019877525375,0.5176905517133991
Modelo BM25,with_stop_no_stem,Com Stopwords | Sem Stemming,0.23244444444444443,0.39485347593964726,0.2647002878218183,0.29413990783792016,0.3505121441408229,0.5300060662421783
Modelo Vetorial,no_stop_with_stem,Sem Remoção Stopwords | Com Stemming,0.23244444444444445,0.3822372405906977,0.26020159279568833,0.29952347193715656,0.3441379947648367,0.5212708690406295
Modelo BM25,no_stop_with_stem,Sem Remoção Stopwords | Com Stemming,0.23244444444444443,0.394918208773988,0.2642174951627683,0.3045270649450968,0.35725363082361816,0.5371252532136199
Modelo Vetorial,with_stop_with_stem,Com Stopwords | Com Stemming,0.24222222222222223,0.39967567923992076,0.27188444471568596,0.30690720461383547,0.3539900297584889,0.5351915800964803
Modelo BM25,with_stop_with_stem,Com Stopwords | Com Stemming,0.24044444444444446,0.40496538563489026,0.2727398942356839,0.3147853873620877,0.3618873856862956,0.542292790945597
