query_id,total_relevant,P@10_VSM,R@10_VSM,AP_VSM,NDCG@10_VSM,RR_VSM,P@10_BM25,R@10_BM25,AP_BM25,NDCG@10_BM25,RR_BM25,AP_Diff (BM25 - VSM)
1,28,0.6,0.21428571428571427,0.31692773173066374,0.4425854741911793,1.0,0.3,0.10714285714285714,0.22852534923291087,0.26664379756251727,1.0,-0.08840238249775287
2,24,0.4,0.16666666666666666,0.22393521536116187,0.6954119878708854,1.0,0.5,0.20833333333333334,0.23353483021118146,0.6894805832105358,1.0,0.009599614850019589
3,8,0.7,0.875,0.6902777777777779,0.7388864036938405,0.5,0.7,0.875,0.6588010204081634,0.7403795971138045,0.5,-0.03147675736961453
4,2,0.1,0.5,0.5833333333333334,0.6131471927654584,1.0,0.1,0.5,0.5303030303030303,0.6131471927654584,1.0,-0.053030303030303094
5,4,0.2,0.5,0.26529799818016375,0.3839138364407793,0.5,0.3,0.75,0.41724137931034483,0.6075279821130648,0.5,0.15194338113018108
6,4,0.2,0.5,0.15390406162464984,0.2990112020128216,0.2,0.1,0.25,0.16925153335037055,0.16198704243977863,0.5,0.015347471725720707
7,5,0.2,0.4,0.14246191113660994,0.18542786387721596,0.25,0.2,0.4,0.17892252307068252,0.22039684962685735,0.3333333333333333,0.03646061193407257
8,11,0.2,0.18181818181818182,0.21870820127012075,0.3249007136011042,0.5,0.1,0.09090909090909091,0.1601236117694036,0.30604632813241633,1.0,-0.058584589500717155
9,3,0.3,1.0,1.0,1.0,1.0,0.3,1.0,0.9166666666666666,0.9674679834891693,1.0,-0.08333333333333337
10,8,0.1,0.125,0.20335586683464016,0.16318437943543912,1.0,0.1,0.125,0.14952082057839255,0.10295788030391283,0.5,-0.053835046256247604
11,7,0.3,0.42857142857142855,0.263282124741854,0.21302864881057348,0.5,0.2,0.2857142857142857,0.19225271717882553,0.17112907146376288,0.25,-0.07102940756302845
12,5,0.2,0.4,0.17898830827964687,0.28512732775800703,0.25,0.2,0.4,0.2795661157024793,0.26461181180833776,0.5,0.10057780742283243
13,4,0.0,0.0,0.004112295338983382,0.0,0.0036496350364963502,0.0,0.0,0.004112295338983382,0.0,0.0036496350364963502,0.0
14,2,0.1,0.5,0.5833333333333334,0.9596358141506395,1.0,0.1,0.5,0.5833333333333334,0.9596358141506395,1.0,0.0
15,2,0.2,1.0,0.6666666666666666,0.4938857448499013,1.0,0.2,1.0,1.0,0.7378264247076021,1.0,0.33333333333333337
16,3,0.1,0.3333333333333333,0.2019927536231884,0.1821252421493118,0.5,0.1,0.3333333333333333,0.19836293974225006,0.1821252421493118,0.5,-0.003629813880938332
17,2,0.1,0.5,0.5079365079365079,0.7871546029909718,1.0,0.1,0.5,0.10719424460431655,0.30451296789464855,0.2,-0.4007422633321914
18,3,0.1,0.3333333333333333,0.13435792349726774,0.23463936301137825,0.3333333333333333,0.1,0.3333333333333333,0.3600348043614215,0.4692787260227565,1.0,0.22567688086415374
19,9,0.1,0.1111111111111111,0.1344697958626021,0.3490538406154851,1.0,0.1,0.1111111111111111,0.07704280976386606,0.22022845364269883,0.5,-0.057426986098736046
20,9,0.5,0.5555555555555556,0.5921771130104463,0.5287324048297514,0.5,0.6,0.6666666666666666,0.5639296529233636,0.5966758057480421,0.5,-0.028247460087082676
21,4,0.2,0.5,0.21807218998230238,0.3511157930243258,0.3333333333333333,0.1,0.25,0.06505667778601433,0.08358430354074227,0.1,-0.15301551219628806
22,1,0.0,0.0,0.0007530120481927711,0.0,0.0007530120481927711,0.0,0.0,0.0007530120481927711,0.0,0.0007530120481927711,0.0
23,32,0.5,0.15625,0.26884627339490663,0.3167753485564435,0.5,0.5,0.15625,0.24207178768092869,0.35353298428307783,0.5,-0.026774485713977947
24,3,0.2,0.6666666666666666,0.4801587301587302,0.734985810997439,1.0,0.2,0.6666666666666666,0.3603603603603604,0.5753291852022475,0.5,-0.11979836979836977
25,9,0.3,0.3333333333333333,0.4254633605085663,0.35152534067883506,1.0,0.6,0.6666666666666666,0.7020933266838237,0.6900763534359792,1.0,0.2766299661752574
26,6,0.3,0.5,0.2643613242398409,0.4830000884808592,0.5,0.2,0.3333333333333333,0.23598102903792226,0.468875024830952,0.5,-0.02838029520191862
27,3,0.0,0.0,0.06763389116330293,0.0,0.058823529411764705,0.2,0.6666666666666666,0.13893450100346652,0.2989774825314111,0.14285714285714285,0.07130060984016359
28,2,0.0,0.0,0.006632989237865144,0.0,0.006896551724137931,0.0,0.0,0.004947793070716659,0.0,0.004081632653061225,-0.001685196167148485
29,9,0.4,0.4444444444444444,0.4377377232360469,0.48425311918704983,1.0,0.4,0.4444444444444444,0.4341601030771458,0.4130840718934389,1.0,-0.003577620158901118
30,7,0.0,0.0,0.05147482700918449,0.0,0.058823529411764705,0.1,0.14285714285714285,0.0810569890739817,0.12430488310538756,0.14285714285714285,0.02958216206479722
31,1,0.0,0.0,0.0008888888888888889,0.0,0.0008888888888888889,0.0,0.0,0.0009174311926605505,0.0,0.0009174311926605505,2.8542303771661578e-05
32,6,0.2,0.3333333333333333,0.12540686662158937,0.06445428059143268,0.3333333333333333,0.2,0.3333333333333333,0.10735423679627336,0.06331601310724913,0.25,-0.01805262982531601
33,3,0.3,1.0,0.5888888888888889,0.6589072019378878,0.5,0.3,1.0,0.6388888888888888,0.683286284108649,0.5,0.04999999999999993
34,6,0.4,0.6666666666666666,0.46279461279461276,0.4649689174610986,0.3333333333333333,0.3,0.5,0.3235042735042735,0.32527162640068813,0.3333333333333333,-0.13929033929033924
35,3,0.0,0.0,0.04318565543324104,0.0,0.05,0.0,0.0,0.033616058363643966,0.0,0.03571428571428571,-0.00956959706959707
36,2,0.1,0.5,0.06448412698412698,0.10642269850451405,0.125,0.1,0.5,0.5024570024570024,0.3373519727104165,1.0,0.43797287547287544
37,9,0.2,0.2222222222222222,0.18410903524761146,0.22374753912863812,0.125,0.0,0.0,0.08837102968297926,0.0,0.08333333333333333,-0.0957380055646322
38,10,0.1,0.1,0.0371952266017334,0.035048424720850443,0.125,0.0,0.0,0.05113867144864589,0.0,0.07692307692307693,0.01394344484691249
39,13,0.2,0.15384615384615385,0.19409704805033756,0.38484478233556985,1.0,0.2,0.15384615384615385,0.15351689121463807,0.2659208301967716,0.5,-0.04058015683569949
40,12,0.2,0.16666666666666666,0.06421233131132915,0.07340046485905652,0.16666666666666666,0.2,0.16666666666666666,0.11904981630914525,0.09906900315631795,0.3333333333333333,0.0548374849978161
