k1,b,Precision@10,Recall@10,F1@10,MAP,NDCG@10,MRR
0.5,0.0,0.2088888888888889,0.3617013168290258,0.23916674732598336,0.27708359977190666,0.3222342712509697,0.5084007338203366
0.5,0.75,0.2226666666666667,0.3863210766987857,0.2551121984710935,0.29663260120240464,0.34407071677744067,0.5277967926347816
0.5,1.0,0.22488888888888892,0.3877479183756274,0.25726570165556933,0.2997915504625577,0.3460535371386598,0.5276048526172669
1.2,0.0,0.21777777777777776,0.3745481569895915,0.24817896372686152,0.2899771646012678,0.33440932047708516,0.5200930886745564
1.2,0.75,0.24044444444444446,0.40496538563489026,0.2727398942356839,0.3147853873620877,0.3618873856862956,0.542292790945597
1.2,1.0,0.23866666666666667,0.4049442555304268,0.27148656871776855,0.3112382996082159,0.35708560501459574,0.5316770312894711
2.0,0.0,0.22311111111111112,0.38476568020711466,0.25452603092209136,0.2981209262727025,0.34540577638979936,0.5451596599518943
2.0,0.75,0.24800000000000003,0.4108798723827103,0.27929608100069075,0.32067117859137095,0.37401096006740076,0.5481254470385316
2.0,1.0,0.24222222222222226,0.4077216941411988,0.2744854755127576,0.31826514517377996,0.3633696946242377,0.5345936062770301
